Anno;Regione;Variazione percentuale  unità di lavoro della pesca
2001;1;11,88811189
2002;1;-11,25
2003;1;-13,38028169
2004;1;-1,62601626
2005;1;-0,826446281
2006;1;14,16666667
2007;1;2,919708029
2008;1;-7,092198582
2009;1;-76,33587786
2010;1;-3,225806452
2011;1;-3,333333333
2012;1;-17,24137931
2001;2;200
2002;2;-66,66666667
2003;2;0
2004;2;0
2005;2;0
2006;2;0
2007;2;0
2008;2;
2009;2;
2010;2;
2011;2;
2012;2;
2001;3;162,037037
2002;3;-55,65371025
2003;3;-20,71713147
2004;3;1,507537688
2005;3;13,36633663
2006;3;10,04366812
2007;3;13,88888889
2008;3;-24,04181185
2009;3;-10,09174312
2010;3;-8,163265306
2011;3;-36,66666667
2012;3;-19,29824561
2001;4;-0,67114094
2002;4;-2,702702703
2003;4;-15,27777778
2004;4;-6,557377049
2005;4;-45,61403509
2006;4;17,74193548
2007;4;8,219178082
2008;4;-32,91139241
2009;4;11,32075472
2010;4;-22,03389831
2011;4;-34,7826087
2012;4;63,33333333
2001;5;-2,670926518
2002;5;-0,393907563
2003;5;-10,2820986
2004;5;6,626506024
2005;5;-10,92738046
2006;5;16,76980198
2007;5;9,326974033
2008;5;7,864760058
2009;5;9,470845972
2010;5;-8,477011494
2011;5;-2,478134111
2012;5;7,542830861
2001;6;22,38383838
2002;6;-16,77121162
2003;6;-9,083696946
2004;6;2,443280977
2005;6;-15,16183986
2006;6;-0,351405622
2007;6;1,511335013
2008;6;-13,20099256
2009;6;-11,77815895
2010;6;-9,008425146
2011;6;-12,46438746
2012;6;-11,3913751
2001;7;-2,817476521
2002;7;-0,168067227
2003;7;-19,61279461
2004;7;8,691099476
2005;7;5,924855491
2006;7;-5,138699409
2007;7;6,375838926
2008;7;-4,957187922
2009;7;-12,4703651
2010;7;-14,40953413
2011;7;11,20253165
2012;7;-8,708025043
2001;8;-6,314063141
2002;8;-0,262582057
2003;8;-8,534444932
2004;8;2,158791077
2005;8;-7,630899272
2006;8;-6,075241484
2007;8;5,926928281
2008;8;-2,759325498
2009;8;-51,47136101
2010;8;-7,634001083
2011;8;-9,671746776
2012;8;-2,14146658
2001;9;34,65517241
2002;9;-29,19334187
2003;9;-21,88065099
2004;9;7,175925926
2005;9;6,803455724
2006;9;-0,707785642
2007;9;-0,509164969
2008;9;-20,88024565
2009;9;3,62225097
2010;9;-3,121098627
2011;9;-10,30927835
2012;9;-7,040229885
2001;10;50
2002;10;-34,81481481
2003;10;-23,86363636
2004;10;-8,955223881
2005;10;-1,639344262
2006;10;16,66666667
2007;10;4,285714286
2008;10;-54,79452055
2009;10;-9,090909091
2010;10;-13,33333333
2011;10;-3,846153846
2012;10;-24
2001;11;-5,645645646
2002;11;8,975175048
2003;11;-9,170560748
2004;11;10,57877814
2005;11;1,831927886
2006;11;0,171330668
2007;11;-4,475484607
2008;11;6,028051328
2009;11;13,87559809
2010;11;-9,565002472
2011;11;-4,372779448
2012;11;-9,602743641
2001;12;10,9375
2002;12;2,197183099
2003;12;-25,96471885
2004;12;-2,382725242
2005;12;-6,407322654
2006;12;11,89894051
2007;12;-2,330662782
2008;12;-25,80164057
2009;12;5,628140704
2010;12;-12,08372978
2011;12;0,865800866
2012;12;-4,721030043
2001;13;4,737025427
2002;13;0,432324576
2003;13;-7,38410596
2004;13;-6,185198427
2005;13;-6,821646341
2006;13;-0,981595092
2007;13;-1,445683602
2008;13;2,891869237
2009;13;-1,221995927
2010;13;-6,639175258
2011;13;4,461130742
2012;13;-5,539112051
2001;14;-16,14730878
2002;14;9,797297297
2003;14;-17,53846154
2004;14;-8,582089552
2005;14;-30,6122449
2006;14;10
2007;14;-1,604278075
2008;14;-16,30434783
2009;14;-7,792207792
2010;14;-16,1971831
2011;14;-13,44537815
2012;14;8,737864078
2001;15;8,427815571
2002;15;-2,056465667
2003;15;-0,960854093
2004;15;7,402084082
2005;15;3,947808632
2006;15;-4,441583521
2007;15;-1,68406871
2008;15;-7,022953066
2009;15;3,352984525
2010;15;-0,819964349
2011;15;-4,493170381
2012;15;-0,677455777
2001;16;5,662345403
2002;16;-4,160203074
2003;16;-6,341965862
2004;16;5,200314218
2005;16;1,000597372
2006;16;0,147863374
2007;16;4,517938875
2008;16;-0,748693318
2009;16;15,85539425
2010;16;-5,737100737
2011;16;-0,873191711
2012;16;-1,262161451
2001;17;108,6956522
2002;17;-54,16666667
2003;17;-13,63636364
2004;17;-5,263157895
2005;17;5,555555556
2006;17;231,5789474
2007;17;7,936507937
2008;17;-64,70588235
2009;17;25
2010;17;0
2011;17;-3,333333333
2012;17;-17,24137931
2001;18;5,129752565
2002;18;9,529276693
2003;18;1,310272537
2004;18;0,724262804
2005;18;-2,568053416
2006;18;7,063784924
2007;18;-2,658788774
2008;18;-12,69600405
2009;18;8,864426419
2010;18;-4,789781799
2011;18;0,894354388
2012;18;-12,13296399
2001;19;-7,850479569
2002;19;7,428530691
2003;19;-4,067954078
2004;19;8,819867183
2005;19;3,744199352
2006;19;7,702205882
2007;19;-1,228878648
2008;19;-1,555209953
2009;19;9,847288046
2010;19;-4,804516885
2011;19;5,170098478
2012;19;-0,787401575
2001;20;0,812231247
2002;20;-0,379146919
2003;20;-3,544243578
2004;20;3,427866831
2005;20;5,579399142
2006;20;-0,925925926
2007;20;-4,194210166
2008;20;3,854389722
2009;20;7,857961054
2010;20;-11,40611725
2011;20;-2,589307121
2012;20;-0,172286488
