Anno;Regione;Percentuale valore aggiunto pesca-piscicoltura-servizi
2000;1;0,005383148
2001;1;0,005048527
2002;1;0,005446511
2003;1;0,004865093
2004;1;0,004076168
2005;1;0,00428721
2006;1;0,004857052
2007;1;0,005706818
2008;1;0,004717692
2009;1;0,00511936
2010;1;0,004456946
2011;1;0,004382517
2000;2;0,009613642
2001;2;0,009640454
2002;2;0,009329483
2003;2;0,008633183
2004;2;0,006701004
2005;2;0,007032461
2006;2;0,007974345
2007;2;0,009400205
2008;2;0,007458355
2009;2;0,007804188
2010;2;0,006788215
2011;2;0,006684838
2000;3;0,007735874
2001;3;0,007958591
2002;3;0,009159531
2003;3;0,008585703
2004;3;0,006821736
2005;3;0,007164533
2006;3;0,008159854
2007;3;0,009464942
2008;3;0,007568536
2009;3;0,008026887
2010;3;0,0069464
2011;3;0,006858166
2000;4;0,018598308
2001;4;0,016522379
2002;4;0,018643241
2003;4;0,016727491
2004;4;0,012835744
2005;4;0,01356581
2006;4;0,015193387
2007;4;0,017501971
2008;4;0,014223298
2009;4;0,014525877
2010;4;0,012768427
2011;4;0,012498593
2000;5;0,164058701
2001;5;0,135958149
2002;5;0,135990773
2003;5;0,138618634
2004;5;0,107152257
2005;5;0,109974175
2006;5;0,127880668
2007;5;0,112421603
2008;5;0,095330889
2009;5;0,111127856
2010;5;0,098715128
2011;5;0,09017598
2000;6;0,289481214
2001;6;0,275262565
2002;6;0,237213923
2003;6;0,241241241
2004;6;0,198002696
2005;6;0,19855402
2006;6;0,215130538
2007;6;0,215333758
2008;6;0,167933367
2009;6;0,173243809
2010;6;0,157510787
2011;6;0,154725056
2000;7;0,110165228
2001;7;0,134013868
2002;7;0,13646373
2003;7;0,171876116
2004;7;0,166040321
2005;7;0,165902567
2006;7;0,154291628
2007;7;0,142408256
2008;7;0,113576986
2009;7;0,144513358
2010;7;0,142509916
2011;7;0,133047311
2000;8;0,12168321
2001;8;0,101770107
2002;8;0,081334459
2003;8;0,102338145
2004;8;0,128552258
2005;8;0,124797647
2006;8;0,073010308
2007;8;0,065917887
2008;8;0,054012158
2009;8;0,064028649
2010;8;0,060089078
2011;8;0,051880491
2000;9;0,091607208
2001;9;0,081117889
2002;9;0,089548736
2003;9;0,087371371
2004;9;0,067687017
2005;9;0,063881947
2006;9;0,064874522
2007;9;0,064560737
2008;9;0,046485904
2009;9;0,049425958
2010;9;0,050370686
2011;9;0,052320415
2000;10;0,027409512
2001;10;0,026423987
2002;10;0,028442103
2003;10;0,02703823
2004;10;0,02088277
2005;10;0,018633153
2006;10;0,024417708
2007;10;0,028810673
2008;10;0,023660136
2009;10;0,025607031
2010;10;0,022460514
2011;10;0,022341023
2000;11;0,458522076
2001;11;0,419768981
2002;11;0,414264431
2003;11;0,457969433
2004;11;0,391051834
2005;11;0,378235234
2006;11;0,323413656
2007;11;0,297314678
2008;11;0,24085005
2009;11;0,263424971
2010;11;0,272524361
2011;11;0,230456537
2000;12;0,030701234
2001;12;0,041227328
2002;12;0,045591706
2003;12;0,060236683
2004;12;0,04897926
2005;12;0,046685964
2006;12;0,055698523
2007;12;0,047399563
2008;12;0,031444607
2009;12;0,038375615
2010;12;0,037342328
2011;12;0,037936952
2000;13;0,181370956
2001;13;0,189563887
2002;13;0,212319946
2003;13;0,161787687
2004;13;0,140834874
2005;13;0,133448364
2006;13;0,147631299
2007;13;0,130040561
2008;13;0,073821961
2009;13;0,11284188
2010;13;0,098817533
2011;13;0,092640131
2000;14;0,308816525
2001;14;0,262353806
2002;14;0,275302579
2003;14;0,26524689
2004;14;0,220459701
2005;14;0,210227958
2006;14;0,224803483
2007;14;0,210969559
2008;14;0,208137389
2009;14;0,246934629
2010;14;0,245577938
2011;14;0,236853129
2000;15;0,050854406
2001;15;0,063204168
2002;15;0,086149314
2003;15;0,102550637
2004;15;0,117463339
2005;15;0,119026392
2006;15;0,108288822
2007;15;0,103057186
2008;15;0,068706517
2009;15;0,082584895
2010;15;0,087041201
2011;15;0,088300035
2000;16;0,387172921
2001;16;0,417498618
2002;16;0,435638587
2003;16;0,376822602
2004;16;0,382138579
2005;16;0,365102885
2006;16;0,479554262
2007;16;0,464063155
2008;16;0,346560809
2009;16;0,439034263
2010;16;0,435905433
2011;16;0,398972299
2000;17;0,022283221
2001;17;0,021678231
2002;17;0,020514599
2003;17;0,019804664
2004;17;0,016274529
2005;17;0,018286152
2006;17;0,014903548
2007;17;0,014078464
2008;17;0,010109195
2009;17;0,011087697
2010;17;0,011140206
2011;17;0,010088094
2000;18;0,139769523
2001;18;0,100145927
2002;18;0,17261038
2003;18;0,174325615
2004;18;0,144332282
2005;18;0,135256687
2006;18;0,209278227
2007;18;0,160212208
2008;18;0,102490069
2009;18;0,130691214
2010;18;0,139692522
2011;18;0,127461704
2000;19;0,462482073
2001;19;0,391490255
2002;19;0,475656339
2003;19;0,506525943
2004;19;0,516114359
2005;19;0,482982461
2006;19;0,515975355
2007;19;0,45837674
2008;19;0,307724582
2009;19;0,362951162
2010;19;0,392457533
2011;19;0,360989031
2000;20;0,189900562
2001;20;0,271365085
2002;20;0,293278714
2003;20;0,315553499
2004;20;0,330045985
2005;20;0,349652304
2006;20;0,363184554
2007;20;0,331000942
2008;20;0,25149743
2009;20;0,271328563
2010;20;0,295845132
2011;20;0,314885152
